codigo,nombre,precio,cantidad_vendida,cantidad_stock,categoria,fecha_venta
79,Sandalias,24.99,20,40,Calzado,2023-10-13
80,Vestido de Encaje,69.99,10,20,Vestidos,2023-09-21
81,Pantalones Deportivos,29.95,18,35,Pantalones,2023-09-28
82,Gorra de Verano,9.95,22,45,Accesorios,2023-09-22
83,Gorra de Invierno,9.99,18,36,Accesorios,2023-10-19
84,Jersey de Cuello V,29.95,15,30,Jerseys,2023-10-08
85,Jersey Oversize,49.95,22,45,Jerseys,2023-09-30
86,Camiseta de Manga Larga,19.99,18,35,Blusas,2023-10-16
87,Sombrero de Punto,12.99,20,40,Accesorios,2023-11-28
88,Blusa de Punto,34.99,14,28,Blusas,2023-09-25
89,Jeans Desgastados,34.95,18,28,Pantalones,2023-12-01
90,Pantalones Formales,49.95,20,40,Pantalones,2023-10-31
91,Zapatos de Senderismo,69.95,15,30,Calzado,2023-09-08
92,Blusa Boho,24.99,20,40,Blusas,2023-09-22
93,Chaqueta de Moto,69.99,10,20,Chaquetas,2023-10-29
94,Gafas de Sol,19.99,25,50,Accesorios,2023-09-04
95,Blusa Floral,24.99,20,40,Blusas,2023-08-31
96,Corbata de Seda,12.99,22,45,Accesorios,2023-10-12
97,Sudadera con Capucha,29.99,18,30,Jerseys,2023-11-06
98,Abrigo de Piel SintÃ©tica,79.99,12,24,Abrigos,2023-10-04
99,Jersey de AlgodÃ³n,34.95,14,28,Jerseys,2023-11-14
100,Chaqueta de Ante,44.95,14,28,Chaquetas,2023-10-06
101,Sombrero de Pescador,9.99,28,55,Accesorios,2023-11-02
102,Chaqueta de Punto,44.95,14,28,Chaquetas,2023-08-25
103,Falda de Tubo,34.99,16,32,Faldas,2023-09-30
104,Zapatos Deportivos,59.99,10,18,Calzado,2023-11-04
105,Zapatos de Plataforma,49.99,10,20,Calzado,2023-10-05
106,Falda de Tubo,39.99,16,32,Faldas,2023-09-11
107,Camisa de Cuero,54.99,12,24,Blusas,2023-10-15
108,Pantalones de Pana,34.99,18,35,Pantalones,2023-09-05
109,Gorra Deportiva,9.95,28,55,Accesorios,2023-11-16
110,Vestido Bohemio,49.99,18,35,Vestidos,2023-10-30
111,Botas de MontaÃ±a,79.99,10,20,Calzado,2023-09-03
112,Pantalones Formales,49.95,12,24,Pantalones,2023-08-30
113,Blusa de Punto,34.99,14,28,Blusas,2023-09-25
114,Chaqueta de AlgodÃ³n,29.99,20,40,Chaquetas,2023-10-18
115,Vestido de Noche,79.99,10,18,Vestidos,2023-12-02
116,Zapatos de Baile,59.95,22,45,Calzado,2023-11-19
117,Pantalones de Pana,34.99,18,35,Pantalones,2023-09-05
118,Zapatos de Cuero,59.95,8,16,Calzado,2023-10-22
119,Pantalones de Lino,29.95,12,24,Pantalones,2023-09-10
120,Zapatos de Baile,59.95,22,45,Calzado,2023-11-19
121,Sombrero Fedora,14.99,22,45,Accesorios,2023-09-19
122,Sandalias de TacÃ³n,39.99,15,30,Calzado,2023-10-27
123,Zapatos de Ballet,29.99,10,20,Calzado,2023-09-30
124,Jersey de Cachemira,79.95,12,24,Jerseys,2023-09-22
125,Blusa de Gasa,24.95,18,36,Blusas,2023-09-01
126,Camiseta BÃ¡sica,19.99,16,32,Blusas,2023-10-03
127,Pantalones de Trabajo,39.95,10,20,Pantalones,2023-09-08
128,Pantalones de Carga,29.95,12,24,Pantalones,2023-11-13
129,Chaqueta de Entretiempo,39.99,15,30,Chaquetas,2023-09-16
130,Sombrero Fedora,14.99,25,50,Accesorios,2023-10-10
131,Vestido de Playa,19.99,20,40,Vestidos,2023-09-17
132,Camisa de Cuero,54.99,12,24,Blusas,2023-10-15
133,Pantalones Elegantes,44.95,12,20,Pantalones,2023-11-08
134,Pantalones Deportivos,29.95,18,35,Pantalones,2023-09-28
135,Blusa de Rayas,24.95,22,44,Blusas,2023-11-29
136,Pantalones Deportivos,29.95,18,35,Pantalones,2023-09-28
137,Zapatos de Plataforma,54.99,15,30,Calzado,2023-09-28
138,Chaqueta de Cuero,54.99,12,24,Chaquetas,2023-11-17
139,Pantalones de Yoga,29.95,18,35,Pantalones,2023-10-27
140,Vestido de Verano,49.99,20,40,Vestidos,2023-08-28
141,Falda de Tubo,39.99,16,32,Faldas,2023-11-25
142,Chaqueta de Entretiempo,39.99,15,30,Chaquetas,2023-11-30
143,Vestido de Fiesta,79.99,20,40,Vestidos,2023-11-18
144,Vestido de CÃ³ctel,54.99,15,30,Vestidos,2023-09-14
145,Corbata a Cuadros,12.99,25,50,Accesorios,2023-09-20
146,Jeans Desgastados,34.95,18,28,Pantalones,2023-11-09
147,Corbata Rayada,12.99,25,40,Accesorios,2023-11-05
148,Blusa Floral,24.99,20,40,Blusas,2023-11-29
149,Pantalones de Trabajo,39.95,18,35,Pantalones,2023-10-15
150,Pantalones de Trabajo,39.95,10,20,Pantalones,2023-11-03
151,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-11-29
152,Falda Plisada,39.95,18,35,Faldas,2023-11-25
153,Vestido de Encaje,69.99,10,20,Vestidos,2023-10-27
154,Sandalias Planas,24.99,12,24,Calzado,2023-11-01
155,Zapatos Planos,29.99,10,20,Calzado,2023-11-15
156,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-10-21
157,Chaqueta de Entretiempo,39.99,15,30,Chaquetas,2023-11-30
158,Corbata de Punto,12.99,25,50,Accesorios,2023-10-06
159,Sombrero Fedora,14.99,22,45,Accesorios,2023-09-19
160,Zapatos Deportivos,69.99,10,20,Calzado,2023-09-13
161,Falda de Tubo,39.99,16,32,Faldas,2023-09-11
162,Abrigo de Lana,89.99,15,30,Abrigos,2023-11-02
163,Sombrero de Punto,12.99,20,40,Accesorios,2023-10-20
164,Blusa Floral,24.99,20,40,Blusas,2023-08-31
165,Pantalones de Terciopelo,44.95,28,55,Pantalones,2023-10-19
166,Pantalones Cortos,24.99,16,32,Pantalones,2023-10-11
167,Corbata de Punto,12.99,25,50,Accesorios,2023-10-06
168,Pantalones de Lentejuelas,44.95,10,20,Pantalones,2023-10-03
169,Jersey de Cuello Alto,39.95,22,45,Jerseys,2023-10-14
170,Vestido de putas,19.99,20,40,Vestidos,2023-09-17
171,Blazer Formal,59.95,15,25,Chaquetas,2023-11-24
172,Chaqueta de Mezclilla,44.99,14,28,Chaquetas,2023-11-22
173,Pantalones Chinos,39.95,12,24,Pantalones,2023-10-01
174,Sombrero de Lana,9.99,20,40,Accesorios,2023-09-02
175,Zapatos de Cuero,59.95,8,16,Calzado,2023-11-29
176,Zapatos de Senderismo,69.95,20,40,Calzado,2023-11-22
177,Botas de MontaÃ±a,79.99,10,20,Calzado,2023-11-13
178,Sombrero de Paja,14.99,22,38,Accesorios,2023-11-26
179,Pantalones de Yoga,44.95,10,20,Pantalones,2023-11-17
180,Vestido Midi,54.99,20,40,Vestidos,2023-10-02
181,Zapatos de Vestir,54.99,18,35,Calzado,2023-09-10
182,Chaqueta de Invierno,89.99,12,24,Chaquetas,2023-10-21
183,Jeans Desgastados,34.95,18,28,Pantalones,2023-11-09
184,Camisa de Seda,59.95,12,24,Blusas,2023-09-12
185,Chaqueta de Invierno,89.99,12,24,Chaquetas,2023-10-21
186,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-11-30
187,Pantalones Formales,49.95,12,24,Pantalones,2023-08-30
188,Gorra de BÃ©isbol,9.95,28,55,Accesorios,2023-08-28
189,Sombrero de Pescador,9.99,28,55,Accesorios,2023-09-07
190,Blusa de Punto,34.99,14,28,Blusas,2023-10-31
191,Traje de BaÃ±o,39.99,18,35,Vestidos,2023-08-27
192,Blusa de AlgodÃ³n,29.99,12,24,Blusas,2023-11-02
193,Vestido de Fiesta,64.95,10,20,Vestidos,2023-10-13
194,Chaqueta de Invierno,89.99,12,24,Chaquetas,2023-11-28
195,Pantalones de Cuadros,29.99,18,35,Pantalones,2023-09-26
196,Zapatos de Ballet,29.99,10,20,Calzado,2023-09-30
197,Abrigo de Lana,89.99,20,40,Abrigos,2023-11-21
198,Pantalones Acampanados,39.95,22,45,Pantalones,2023-11-15
199,Chaqueta de Invierno,99.95,10,20,Chaquetas,2023-11-28
200,Corbata de Lino,12.99,15,30,Accesorios,2023-08-31
201,Chaqueta de Invierno,99.95,10,20,Chaquetas,2023-08-27
202,Chaqueta de Mezclilla,44.99,14,28,Chaquetas,2023-08-29
203,Chaqueta de Mezclilla,49.99,20,40,Chaquetas,2023-10-12
204,Pantalones Cortos,19.95,24,48,Pantalones,2023-08-26
205,Chaqueta de Cuero,89.99,15,30,Chaquetas,2023-08-22
206,Zapatos Deportivos,69.99,10,20,Calzado,2023-10-20
207,Zapatos de TacÃ³n,54.95,10,15,Calzado,2023-11-06
208,Vestido de Noche,79.99,10,18,Vestidos,2023-11-24
209,Pantalones Palazzo,34.95,12,24,Pantalones,2023-10-07
210,Blusa Boho,34.99,22,45,Blusas,2023-10-05
211,Zapatos de Vestir,54.99,20,40,Calzado,2023-10-17
212,Corbata a Cuadros,12.99,25,50,Accesorios,2023-10-26
213,Vestido Casual,24.99,20,40,Vestidos,2023-09-09
214,Vestido de CÃ³ctel,54.99,15,30,Vestidos,2023-10-20
215,Pantalones Cortos de Mezclilla,19.95,16,32,Pantalones,2023-10-29
216,Sombrero de Lana,9.99,20,40,Accesorios,2023-09-02
217,Jersey de Cuello Alto,39.95,22,45,Jerseys,2023-10-14
218,Zapatos de Baile,59.95,22,45,Calzado,2023-10-31
219,Blusa de Manga Corta,19.99,20,40,Blusas,2023-10-01
220,Blazer Formal,59.95,15,25,Chaquetas,2023-11-10
221,Corbata de Seda,14.99,16,32,Accesorios,2023-09-16
222,Zapatos Deportivos,59.95,22,45,Calzado,2023-11-27
223,Corbata de Polka,12.99,25,50,Accesorios,2023-09-09
224,Chaqueta de Cuero,89.95,12,22,Chaquetas,2023-11-05
225,Pantalones de Cintura Alta,29.95,18,35,Pantalones,2023-10-05
226,Zapatos de Ballet,29.99,10,20,Calzado,2023-09-30
227,Corbata a Lunares,14.99,25,50,Accesorios,2023-10-02
228,Corbata a Rayas,12.99,22,44,Accesorios,2023-09-03
229,Blusa de Rayas,24.95,22,44,Blusas,2023-11-29
230,Sombrero de Pescador,9.99,16,32,Accesorios,2023-11-21
231,Pantalones Cargo,34.95,12,24,Pantalones,2023-10-25
232,Pantalones Elegantes,44.95,12,20,Pantalones,2023-11-08
233,Blusa de Rayas,24.95,22,44,Blusas,2023-10-21
234,Zapatos Oxford,54.99,20,40,Calzado,2023-10-26
235,Falda Plisada,39.99,16,32,Faldas,2023-11-07
236,Zapatos de Plataforma,49.99,10,20,Calzado,2023-10-05
237,Blusa Estampada,29.99,16,32,Blusas,2023-10-25
238,Pantalones de Pana,34.99,18,35,Pantalones,2023-09-05
239,Corbata Floral,12.99,25,50,Accesorios,2023-09-29
240,Camiseta Vintage,14.99,10,20,Blusas,2023-11-20
241,Chaqueta de Tweed,44.95,16,32,Chaquetas,2023-10-16
242,Sombrero de Cuero,19.99,25,50,Accesorios,2023-10-30
243,Blusa de Encaje,29.95,14,25,Blusas,2023-11-07
244,Sombrero de Pescador,9.99,28,55,Accesorios,2023-11-02
245,Blazer Formal,59.95,15,25,Chaquetas,2023-11-24
246,Pantalones de Trabajo,39.95,10,20,Pantalones,2023-09-08
247,Corbata de Seda,14.99,22,45,Accesorios,2023-08-27
248,Jersey de Cachemira,79.95,12,24,Jerseys,2023-10-28
249,Camiseta Estampada,14.99,20,40,Blusas,2023-09-06
250,Gafas de Sol,19.99,25,50,Accesorios,2023-09-04
251,Falda Plisada,39.99,16,32,Faldas,2023-11-07
252,Camisa de Lino,34.99,12,25,Blusas,2023-08-28
253,Pantalones de Lino,29.95,12,24,Pantalones,2023-11-24
254,Zapatos Casuales,44.95,16,32,Calzado,2023-11-12
255,Pantalones Vaqueros,49.95,20,40,Pantalones,2023-08-22
256,Blusa de Gasa,24.95,18,36,Blusas,2023-09-01
257,Zapatos Deportivos,69.99,10,20,Calzado,2023-09-13
258,Jersey de Cuello Alto,34.95,16,32,Jerseys,2023-09-07
259,Camisa de Cuero,54.99,12,24,Blusas,2023-11-22
260,Gorra de Verano,9.95,22,45,Accesorios,2023-09-22
261,Blusa de AlgodÃ³n,29.99,10,20,Blusas,2023-11-21
262,Sandalias Planas,24.99,12,24,Calzado,2023-11-20
263,Vestido de Verano,49.99,20,40,Vestidos,2023-11-30
264,Pantalones de Yoga,44.95,10,20,Pantalones,2023-11-17
265,Chaleco de Mezclilla,29.95,15,30,Chaquetas,2023-10-30
266,Chaqueta Bomber,44.95,14,28,Chaquetas,2023-09-20
267,Zapatos Oxford,54.99,20,40,Calzado,2023-09-20
268,Pantalones de Mezclilla,39.95,15,25,Pantalones,2023-11-04
269,Blusa de Rayas,19.99,25,40,Blusas,2023-12-01
270,Falda de Cuero,49.99,15,30,Faldas,2023-09-18
271,Zapatos Oxford,54.99,18,35,Calzado,2023-10-07
272,Falda de Cuero,49.99,15,30,Faldas,2023-10-24
273,Botas de Cuero,79.95,10,20,Calzado,2023-08-26
274,Chaqueta de Moto,69.99,10,20,Chaquetas,2023-09-23
275,Zapatos Deportivos,59.99,12,24,Calzado,2023-10-08
276,Camiseta Vintage,14.99,10,20,Blusas,2023-11-01
277,Blusa de AlgodÃ³n,29.99,12,24,Blusas,2023-09-07
278,Blusa de Encaje,19.99,20,40,Blusas,2023-10-09
279,Gorra de BÃ©isbol,9.95,28,55,Accesorios,2023-08-28
280,Pantalones Cortos,19.95,15,28,Pantalones,2023-11-06
281,Pantalones de Yoga,29.95,18,35,Pantalones,2023-09-21
282,Corbata de Seda,14.99,22,45,Accesorios,2023-08-27
283,Vestido de Fiesta,69.95,8,16,Vestidos,2023-09-02
284,Zapatillas Deportivas,69.95,16,32,Calzado,2023-11-29
285,Chaleco de Cuadros,19.95,14,28,Chaquetas,2023-09-12
286,Vestido Bohemio,49.99,18,35,Vestidos,2023-10-30
287,Zapatos de TacÃ³n,59.99,8,15,Calzado,2023-08-30
288,Pantalones Vaqueros,49.95,20,40,Pantalones,2023-11-25
289,Pantalones de Cuero,54.95,10,20,Pantalones,2023-09-03
290,Blazer de Terciopelo,79.95,10,20,Chaquetas,2023-10-24
292,Blusa de Encaje,29.99,15,30,Blusas,2023-08-26
293,Falda Plisada,39.95,18,35,Faldas,2023-12-03
294,Vestido Casual,29.99,14,28,Vestidos,2023-11-23
295,Chaqueta de Tweed,44.95,14,28,Chaquetas,2023-09-09
296,Pantalones de Carga,29.99,14,28,Pantalones,2023-09-01
297,Chaqueta de Entretiempo,39.99,15,30,Chaquetas,2023-11-30
298,Pantalones de Yoga,29.95,18,35,Pantalones,2023-08-29
299,Zapatos de Senderismo,69.95,20,40,Calzado,2023-11-22
300,Vestido Elegante,69.99,12,24,Vestidos,2023-11-12
301,Zapatillas Deportivas,69.95,16,32,Calzado,2023-08-29
301,Blusa de AlgodÃ³n,29.99,10,20,Blusas,2023-10-14
302,Chaqueta de Moto,69.99,10,20,Chaquetas,2023-09-23
303,Vestido Bohemio,49.99,18,35,Vestidos,2023-09-24
304,Vestido de Noche,79.99,10,18,Vestidos,2023-12-02
305,Pantalones de Lino,34.95,12,24,Pantalones,2023-10-16
306,Sombrero de Cuero,19.99,25,50,Accesorios,2023-10-30
307,Sandalias de TacÃ³n,39.99,15,30,Calzado,2023-09-21
308,Zapatos Deportivos,59.95,22,45,Calzado,2023-11-27
309,Zapatillas de Running,64.95,18,35,Calzado,2023-10-24
310,Sombrero de Paja,9.99,30,60,Accesorios,2023-08-25
311,Pantalones de Lentejuelas,44.95,10,20,Pantalones,2023-10-03
312,Zapatos Deportivos,59.95,22,45,Calzado,2023-08-24
313,Camiseta de Manga Larga,19.99,18,35,Blusas,2023-10-16
314,Blusa de Gasa,24.95,18,36,Blusas,2023-09-01
315,Falda Plisada,39.95,18,35,Faldas,2023-08-23
316,Sombrero de Paja,9.99,30,60,Accesorios,2023-08-25
317,Blusa de AlgodÃ³n,29.99,10,20,Blusas,2023-10-14
318,Chaleco de Cuadros,19.95,14,28,Chaquetas,2023-10-19
319,Pantalones Elegantes,44.95,12,20,Pantalones,2023-11-08
320,Pantalones de Carga,29.99,14,28,Pantalones,2023-09-01
321,Sandalias Planas,24.99,12,24,Calzado,2023-11-01
322,Zapatos de Senderismo,69.95,20,40,Calzado,2023-10-15
323,Corbata de Lino,12.99,15,30,Accesorios,2023-08-31
324,Camiseta de Manga Larga,19.99,20,40,Blusas,2023-09-10
325,Pantalones Cargo,34.95,12,24,Pantalones,2023-09-19
326,Pantalones de Cuadros,29.99,18,35,Pantalones,2023-11-01
327,Camiseta de Manga Larga,19.99,18,35,Blusas,2023-10-16
328,Camiseta de Manga Larga,19.99,20,40,Blusas,2023-11-24
329,Jersey de Cuello Alto,39.95,22,45,Jerseys,2023-10-14
330,Zapatillas Deportivas,69.99,12,20,Calzado,2023-11-23
331,Corbata de Seda,14.99,16,32,Accesorios,2023-09-16
332,Zapatillas Deportivas,69.95,16,32,Calzado,2023-08-29
333,Chaleco de Cuadros,19.95,14,28,Chaquetas,2023-09-12
334,Camisa de Seda,59.95,12,24,Blusas,2023-10-18
335,Zapatos de Plataforma,54.99,15,30,Calzado,2023-09-28
336,Zapatos de Plataforma,49.99,10,20,Calzado,2023-10-18
337,Chaleco Acolchado,34.95,14,28,Chaquetas,2023-10-02
338,Blusa de Punto,34.99,14,28,Blusas,2023-09-25
339,Vestido Casual,24.99,20,40,Vestidos,2023-09-09
340,Vestido de Verano,49.99,20,40,Vestidos,2023-11-30
341,Chaqueta de Tweed,44.95,14,28,Chaquetas,2023-09-09
342,Corbata de Seda,14.99,16,32,Accesorios,2023-09-16
343,Chaqueta de Mezclilla,44.99,14,28,Chaquetas,2023-11-22
344,Pantalones de Terciopelo,44.95,28,55,Pantalones,2023-10-19
345,Zapatillas de Running,64.95,18,35,Calzado,2023-09-18
346,Jersey de Cuello V,29.95,15,30,Jerseys,2023-10-08
347,Vestido de Terciopelo,59.99,8,16,Vestidos,2023-10-04
348,Blusa de Punto,34.99,14,28,Blusas,2023-11-19
349,Vestido Midi,54.99,20,40,Vestidos,2023-10-02
350,Botas de Lluvia,34.95,12,24,Calzado,2023-10-29
351,Pantalones de Cuero,44.95,22,45,Pantalones,2023-10-09
352,Jersey de Punto,34.95,15,30,Jerseys,2023-10-17
353,Chaqueta de Cuero,89.99,15,30,Chaquetas,2023-11-24
354,Sombrero de Punto,12.99,20,40,Accesorios,2023-09-14
355,Falda Plisada,39.95,18,35,Faldas,2023-11-25
356,Camiseta Estampada,14.99,20,40,Blusas,2023-09-06
357,Sombrero de Fieltro,24.99,20,40,Accesorios,2023-10-04
358,Vestido de Verano,49.99,20,35,Vestidos,2023-11-08
359,Blusa a Rayas,19.99,25,40,Blusas,2023-11-09
360,Traje de BaÃ±o,39.99,18,35,Vestidos,2023-08-27
361,Blusa de AlgodÃ³n,29.99,10,20,Blusas,2023-10-14
362,Zapatos Casuales,44.95,12,24,Calzado,2023-09-05
363,Chaleco de Mezclilla,29.95,15,30,Chaquetas,2023-09-24
364,Camiseta Deportiva,19.99,25,50,Blusas,2023-08-30
365,Corbata a Cuadros,12.99,25,50,Accesorios,2023-10-26
366,Jersey de Lana,54.95,10,20,Jerseys,2023-11-26
367,Pantalones Formales,49.95,20,40,Pantalones,2023-10-31
368,Traje de BaÃ±o,39.99,18,35,Vestidos,2023-08-27
369,Sandalias de TacÃ³n,39.99,15,30,Calzado,2023-09-21
370,Pantalones Palazzo,34.95,12,24,Pantalones,2023-10-07
371,Sombrero de Pescador,9.99,16,32,Accesorios,2023-11-21
372,Vestido Elegante,79.95,12,24,Vestidos,2023-09-29
373,Zapatillas de Skate,69.95,15,30,Calzado,2023-10-03
374,Sombrero de Lana,14.99,20,40,Accesorios,2023-11-11
375,Zapatos de Plataforma,49.99,10,20,Calzado,2023-11-25
376,Vestido de Encaje,69.99,10,20,Vestidos,2023-09-21
377,Pantalones de Mezclilla,34.95,10,20,Pantalones,2023-11-29
378,Gorra de Béisbol,9.95,28,55,Accesorios,2023-11-28
379,Sombrero de Paja,14.99,22,38,Accesorios,2023-12-04
380,Zapatillas de Running,64.95,18,35,Calzado,2023-09-18
381,Vestido de Verano,49.99,20,40,Vestidos,2023-11-28
382,Corbata de Seda,14.99,16,32,Accesorios,2023-10-22
383,Sombrero de Pescador,9.99,16,32,Accesorios,2023-11-21
384,Falda de Tubo,39.99,16,32,Faldas,2023-10-17
385,Camiseta Vintage,14.99,10,20,Blusas,2023-11-01
386,Sombrero Fedora,14.99,22,45,Accesorios,2023-09-19
387,Camiseta de Rayas,14.95,22,45,Blusas,2023-08-31
388,Gorra de Verano,9.95,22,45,Accesorios,2023-10-28
389,Falda Plisada,39.95,18,35,Faldas,2023-11-25
390,Camisa de Seda,59.95,12,24,Blusas,2023-09-12
391,Pantalones de Trabajo,39.95,10,20,Pantalones,2023-09-08
392,Botines,69.99,10,20,Calzado,2023-10-09
393,Zapatillas Deportivas,69.95,16,32,Calzado,2023-08-29
394,Zapatos Planos,34.95,12,24,Calzado,2023-10-11
395,Corbata a Rayas,12.99,22,44,Accesorios,2023-09-03
396,Abrigo de Lana,89.99,20,40,Abrigos,2023-11-21
397,Pantalones de Playa,19.95,25,50,Pantalones,2023-09-06
398,Blazer Formal,59.95,15,25,Chaquetas,2023-12-02
399,Zapatos de Plataforma,49.99,10,20,Calzado,2023-09-11
400,Pantalones Acampanados,39.95,22,45,Pantalones,2023-11-15
401,Zapatos de Plataforma,49.99,10,20,Calzado,2023-10-05
402,Pantalones de Cuadros,29.99,18,35,Pantalones,2023-11-20
403,Blazer de Terciopelo,79.95,10,20,Chaquetas,2023-10-24
404,Blusa de Rayas,24.95,22,44,Blusas,2023-09-15
405,Falda Plisada,39.95,18,35,Faldas,2023-08-23
406,Blusa de Punto,34.99,14,28,Blusas,2023-10-31
407,Blusa Estampada,29.99,16,32,Blusas,2023-09-19
408,Pantalones de Lino,34.95,12,24,Pantalones,2023-10-16
409,Blusa AsimÃ©trica,39.99,20,40,Blusas,2023-09-28
410,Chaqueta Bomber,44.95,14,28,Chaquetas,2023-10-26
411,Botines,69.99,10,20,Calzado,2023-10-09
412,Jersey de Punto,34.95,15,30,Jerseys,2023-10-17
413,Zapatos de Plataforma,49.99,10,20,Calzado,2023-09-11
414,Chaleco de Mezclilla,29.95,15,30,Chaquetas,2023-10-30
415,Sudadera con Capucha,29.99,18,30,Jerseys,2023-11-06
